customer_type,order_value_min,order_value_max,max_discount_pct,approval_limit_pct
new,0,1999999,1.86,0.82
new,2000000,3999999,6.61,4.46
new,4000000,5999999,5.61,3.77
new,6000000,7999999,11.23,6.66
new,8000000,9999999,1.97,1.52
new,10000000,11999999,5.53,2.67
new,12000000,13999999,5.35,3.63
new,14000000,15999999,9.25,4.13
new,16000000,17999999,9.15,7.07
new,18000000,19999999,6.55,3.49
new,20000000,21999999,9.13,5.95
new,22000000,23999999,4.91,3.41
new,24000000,25999999,4.83,3.29
new,26000000,27999999,9.24,3.93
new,28000000,29999999,2.72,1.44
new,30000000,31999999,9.81,5.99
new,32000000,33999999,7.17,4.55
new,34000000,35999999,7.23,5.24
new,36000000,37999999,6.95,4.64
new,38000000,39999999,1.98,1.09
new,40000000,41999999,7.01,4.42
new,42000000,43999999,6.39,4.91
new,44000000,45999999,3.78,1.79
new,46000000,47999999,10.75,6.38
new,48000000,49999999,6.06,3.62
new,50000000,51999999,9.57,5.7
new,52000000,53999999,3.07,1.27
new,54000000,55999999,8.95,5.6
new,56000000,57999999,6.77,3.43
new,58000000,59999999,6.44,4.53
new,60000000,61999999,11.15,4.91
new,62000000,63999999,9.94,4.1
new,64000000,65999999,5.36,4.28
new,66000000,67999999,6.92,3.74
new,68000000,69999999,2.49,1.13
new,70000000,71999999,6.74,4.13
new,72000000,73999999,11.03,5.71
new,74000000,75999999,11.1,7.46
new,76000000,77999999,9,6.91
new,78000000,79999999,8.12,3.68
new,80000000,81999999,8.75,5.87
new,82000000,83999999,3.57,2.02
new,84000000,85999999,1.73,1.04
new,86000000,87999999,5.53,3.29
new,88000000,89999999,1.73,1.36
new,90000000,91999999,9.68,6.95
new,92000000,93999999,9.41,5.63
new,94000000,95999999,6.5,2.94
new,96000000,97999999,8.75,3.66
new,98000000,999999999999,0.92,0.71
existing,0,1999999,14.89,8.5
existing,2000000,3999999,5.23,3.92
existing,4000000,5999999,4.51,2.47
existing,6000000,7999999,9.76,6.74
existing,8000000,9999999,10.85,4.34
existing,10000000,11999999,4.17,2.8
existing,12000000,13999999,12.44,9.89
existing,14000000,15999999,1.99,1.1
existing,16000000,17999999,5.39,4.06
existing,18000000,19999999,13.24,8.69
existing,20000000,21999999,8.89,5.73
existing,22000000,23999999,3.98,2.78
existing,24000000,25999999,13.04,5.67
existing,26000000,27999999,9.25,5.12
existing,28000000,29999999,4.47,2.94
existing,30000000,31999999,11.1,5.71
existing,32000000,33999999,13.26,6.39
existing,34000000,35999999,6.48,4.27
existing,36000000,37999999,4.38,2.87
existing,38000000,39999999,14.82,11.46
existing,40000000,41999999,6.89,4.26
existing,42000000,43999999,2.02,1.28
existing,44000000,45999999,13.92,10.85
existing,46000000,47999999,10.98,7.76
existing,48000000,49999999,9.97,6.13
existing,50000000,51999999,2.11,1.62
existing,52000000,53999999,9.21,6.5
existing,54000000,55999999,5.34,3.07
existing,56000000,57999999,13.94,6.22
existing,58000000,59999999,10.33,6.85
existing,60000000,61999999,2.92,1.18
existing,62000000,63999999,8.24,6.01
existing,64000000,65999999,11.5,8.62
existing,66000000,67999999,13.6,7.26
existing,68000000,69999999,4.68,3.7
existing,70000000,71999999,8.15,3.44
existing,72000000,73999999,4.57,2.02
existing,74000000,75999999,4.2,2.53
existing,76000000,77999999,4.42,2.6
existing,78000000,79999999,14.04,10.43
existing,80000000,81999999,11.37,6.46
existing,82000000,83999999,5.48,4
existing,84000000,85999999,10.43,4.39
existing,86000000,87999999,14.36,6.14
existing,88000000,89999999,5.58,3.47
existing,90000000,91999999,8.89,4.64
existing,92000000,93999999,9.28,5.54
existing,94000000,95999999,11.65,5.8
existing,96000000,97999999,4.26,2.29
existing,98000000,999999999999,1.02,0.68
