gst_rule_id,product_code,product_category,hsn_code,gst_rate_pct,cgst_pct,sgst_pct,igst_pct,effective_from,status
GST-001,MSB-001,Steel Billet,72000001,28,14.0,14.0,28,2026-01-01,Active
GST-002,MSP-002,Steel Plate,72000002,5,2.5,2.5,5,2026-01-01,Active
GST-003,SHT-003,Steel Sheet,72000003,12,6.0,6.0,12,2026-01-01,Active
GST-004,COI-004,Steel Coil,72000004,18,9.0,9.0,18,2026-01-01,Active
GST-005,TMT-005,Reinforcement Bar,72000005,28,14.0,14.0,28,2026-01-01,Active
GST-006,IBE-006,I Beam,72000006,12,6.0,6.0,12,2026-01-01,Active
GST-007,CHN-007,Channel Section,72000007,28,14.0,14.0,28,2026-01-01,Active
GST-008,ANG-008,Structural Angle,72000008,5,2.5,2.5,5,2026-01-01,Active
GST-009,FLT-009,Flat Bar,72000009,28,14.0,14.0,28,2026-01-01,Active
GST-010,RND-010,Round Bar,72000010,18,9.0,9.0,18,2026-01-01,Active
GST-011,PIP-011,Steel Pipe,72000011,12,6.0,6.0,12,2026-01-01,Active
GST-012,HSS-012,Hollow Section,72000012,5,2.5,2.5,5,2026-01-01,Active
GST-013,SSP-013,Stainless Steel,72000013,28,14.0,14.0,28,2026-01-01,Active
GST-014,FIT-014,Pipe Fitting,72000014,18,9.0,9.0,18,2026-01-01,Active
GST-015,GRT-015,Industrial Grating,72000015,18,9.0,9.0,18,2026-01-01,Active
GST-016,MSB-016,Steel Billet,72000016,5,2.5,2.5,5,2026-01-01,Active
GST-017,MSP-017,Steel Plate,72000017,18,9.0,9.0,18,2026-01-01,Active
GST-018,SHT-018,Steel Sheet,72000018,18,9.0,9.0,18,2026-01-01,Active
GST-019,COI-019,Steel Coil,72000019,18,9.0,9.0,18,2026-01-01,Active
GST-020,TMT-020,Reinforcement Bar,72000020,18,9.0,9.0,18,2026-01-01,Active
GST-021,IBE-021,I Beam,72000021,28,14.0,14.0,28,2026-01-01,Active
GST-022,CHN-022,Channel Section,72000022,5,2.5,2.5,5,2026-01-01,Active
GST-023,ANG-023,Structural Angle,72000023,12,6.0,6.0,12,2026-01-01,Active
GST-024,FLT-024,Flat Bar,72000024,12,6.0,6.0,12,2026-01-01,Active
GST-025,RND-025,Round Bar,72000025,18,9.0,9.0,18,2026-01-01,Active
GST-026,PIP-026,Steel Pipe,72000026,28,14.0,14.0,28,2026-01-01,Active
GST-027,HSS-027,Hollow Section,72000027,18,9.0,9.0,18,2026-01-01,Active
GST-028,SSP-028,Stainless Steel,72000028,18,9.0,9.0,18,2026-01-01,Active
GST-029,FIT-029,Pipe Fitting,72000029,28,14.0,14.0,28,2026-01-01,Active
GST-030,GRT-030,Industrial Grating,72000030,5,2.5,2.5,5,2026-01-01,Active
GST-031,MSB-031,Steel Billet,72000031,12,6.0,6.0,12,2026-01-01,Active
GST-032,MSP-032,Steel Plate,72000032,28,14.0,14.0,28,2026-01-01,Active
GST-033,SHT-033,Steel Sheet,72000033,12,6.0,6.0,12,2026-01-01,Active
GST-034,COI-034,Steel Coil,72000034,28,14.0,14.0,28,2026-01-01,Active
GST-035,TMT-035,Reinforcement Bar,72000035,28,14.0,14.0,28,2026-01-01,Active
GST-036,IBE-036,I Beam,72000036,18,9.0,9.0,18,2026-01-01,Active
GST-037,CHN-037,Channel Section,72000037,5,2.5,2.5,5,2026-01-01,Active
GST-038,ANG-038,Structural Angle,72000038,12,6.0,6.0,12,2026-01-01,Active
GST-039,FLT-039,Flat Bar,72000039,5,2.5,2.5,5,2026-01-01,Active
GST-040,RND-040,Round Bar,72000040,18,9.0,9.0,18,2026-01-01,Active
GST-041,PIP-041,Steel Pipe,72000041,28,14.0,14.0,28,2026-01-01,Active
GST-042,HSS-042,Hollow Section,72000042,12,6.0,6.0,12,2026-01-01,Active
GST-043,SSP-043,Stainless Steel,72000043,5,2.5,2.5,5,2026-01-01,Active
GST-044,FIT-044,Pipe Fitting,72000044,12,6.0,6.0,12,2026-01-01,Active
GST-045,GRT-045,Industrial Grating,72000045,12,6.0,6.0,12,2026-01-01,Active
GST-046,MSB-046,Steel Billet,72000046,12,6.0,6.0,12,2026-01-01,Active
GST-047,MSP-047,Steel Plate,72000047,5,2.5,2.5,5,2026-01-01,Active
GST-048,SHT-048,Steel Sheet,72000048,12,6.0,6.0,12,2026-01-01,Active
GST-049,COI-049,Steel Coil,72000049,5,2.5,2.5,5,2026-01-01,Active
GST-050,TMT-050,Reinforcement Bar,72000050,28,14.0,14.0,28,2026-01-01,Active
GST-051,IBE-051,I Beam,72000051,5,2.5,2.5,5,2026-01-01,Active
GST-052,CHN-052,Channel Section,72000052,18,9.0,9.0,18,2026-01-01,Active
GST-053,ANG-053,Structural Angle,72000053,12,6.0,6.0,12,2026-01-01,Active
GST-054,FLT-054,Flat Bar,72000054,18,9.0,9.0,18,2026-01-01,Active
GST-055,RND-055,Round Bar,72000055,18,9.0,9.0,18,2026-01-01,Active
GST-056,PIP-056,Steel Pipe,72000056,28,14.0,14.0,28,2026-01-01,Active
GST-057,HSS-057,Hollow Section,72000057,28,14.0,14.0,28,2026-01-01,Active
GST-058,SSP-058,Stainless Steel,72000058,5,2.5,2.5,5,2026-01-01,Active
GST-059,FIT-059,Pipe Fitting,72000059,5,2.5,2.5,5,2026-01-01,Active
GST-060,GRT-060,Industrial Grating,72000060,12,6.0,6.0,12,2026-01-01,Active
GST-061,MSB-061,Steel Billet,72000061,18,9.0,9.0,18,2026-01-01,Active
GST-062,MSP-062,Steel Plate,72000062,28,14.0,14.0,28,2026-01-01,Active
GST-063,SHT-063,Steel Sheet,72000063,28,14.0,14.0,28,2026-01-01,Active
GST-064,COI-064,Steel Coil,72000064,12,6.0,6.0,12,2026-01-01,Active
GST-065,TMT-065,Reinforcement Bar,72000065,28,14.0,14.0,28,2026-01-01,Active
GST-066,IBE-066,I Beam,72000066,18,9.0,9.0,18,2026-01-01,Active
GST-067,CHN-067,Channel Section,72000067,18,9.0,9.0,18,2026-01-01,Active
GST-068,ANG-068,Structural Angle,72000068,12,6.0,6.0,12,2026-01-01,Active
GST-069,FLT-069,Flat Bar,72000069,18,9.0,9.0,18,2026-01-01,Active
GST-070,RND-070,Round Bar,72000070,5,2.5,2.5,5,2026-01-01,Active
GST-071,PIP-071,Steel Pipe,72000071,18,9.0,9.0,18,2026-01-01,Active
GST-072,HSS-072,Hollow Section,72000072,5,2.5,2.5,5,2026-01-01,Active
GST-073,SSP-073,Stainless Steel,72000073,28,14.0,14.0,28,2026-01-01,Active
GST-074,FIT-074,Pipe Fitting,72000074,5,2.5,2.5,5,2026-01-01,Active
GST-075,GRT-075,Industrial Grating,72000075,12,6.0,6.0,12,2026-01-01,Active
GST-076,MSB-076,Steel Billet,72000076,12,6.0,6.0,12,2026-01-01,Active
GST-077,MSP-077,Steel Plate,72000077,12,6.0,6.0,12,2026-01-01,Active
GST-078,SHT-078,Steel Sheet,72000078,12,6.0,6.0,12,2026-01-01,Active
GST-079,COI-079,Steel Coil,72000079,12,6.0,6.0,12,2026-01-01,Active
GST-080,TMT-080,Reinforcement Bar,72000080,18,9.0,9.0,18,2026-01-01,Active
GST-081,IBE-081,I Beam,72000081,28,14.0,14.0,28,2026-01-01,Active
GST-082,CHN-082,Channel Section,72000082,5,2.5,2.5,5,2026-01-01,Active
GST-083,ANG-083,Structural Angle,72000083,5,2.5,2.5,5,2026-01-01,Active
GST-084,FLT-084,Flat Bar,72000084,28,14.0,14.0,28,2026-01-01,Active
GST-085,RND-085,Round Bar,72000085,12,6.0,6.0,12,2026-01-01,Active
GST-086,PIP-086,Steel Pipe,72000086,12,6.0,6.0,12,2026-01-01,Active
GST-087,HSS-087,Hollow Section,72000087,5,2.5,2.5,5,2026-01-01,Active
GST-088,SSP-088,Stainless Steel,72000088,12,6.0,6.0,12,2026-01-01,Active
GST-089,FIT-089,Pipe Fitting,72000089,18,9.0,9.0,18,2026-01-01,Active
GST-090,GRT-090,Industrial Grating,72000090,18,9.0,9.0,18,2026-01-01,Active
GST-091,MSB-091,Steel Billet,72000091,18,9.0,9.0,18,2026-01-01,Active
GST-092,MSP-092,Steel Plate,72000092,28,14.0,14.0,28,2026-01-01,Active
GST-093,SHT-093,Steel Sheet,72000093,28,14.0,14.0,28,2026-01-01,Active
GST-094,COI-094,Steel Coil,72000094,18,9.0,9.0,18,2026-01-01,Active
GST-095,TMT-095,Reinforcement Bar,72000095,28,14.0,14.0,28,2026-01-01,Active
GST-096,IBE-096,I Beam,72000096,18,9.0,9.0,18,2026-01-01,Active
GST-097,CHN-097,Channel Section,72000097,12,6.0,6.0,12,2026-01-01,Active
GST-098,ANG-098,Structural Angle,72000098,28,14.0,14.0,28,2026-01-01,Active
GST-099,FLT-099,Flat Bar,72000099,18,9.0,9.0,18,2026-01-01,Active
GST-100,RND-100,Round Bar,72000100,28,14.0,14.0,28,2026-01-01,Active
