product_code,name,category,grade,specifications,unit
MSB-001,Steel Billet Model 001,Steel Billet,IS2062 E250,Industrial grade product; size 15mm; standard commercial tolerance,MT
MSP-002,Steel Plate Model 002,Steel Plate,IS2062 E350,3.5mm thickness; width up to 2500mm; cut length available,MT
SHT-003,Steel Sheet Model 003,Steel Sheet,IS513 CR1,5.0mm thickness; width up to 3000mm; cut length available,MT
COI-004,Steel Coil Model 004,Steel Coil,IS2062 E250,Industrial grade product; size 30mm; standard commercial tolerance,MT
TMT-005,Reinforcement Bar Model 005,Reinforcement Bar,IS1786 Fe500D,25mm ribbed TMT bar; standard length 12m,MT
IBE-006,I Beam Model 006,I Beam,IS808 / IS2062 E250,40mm nominal section; standard length 6m/12m; fabrication grade,MT
CHN-007,Channel Section Model 007,Channel Section,IS808 / IS2062 E250,45mm nominal section; standard length 6m/12m; fabrication grade,MT
ANG-008,Structural Angle Model 008,Structural Angle,IS808 / IS2062 E250,50mm nominal section; standard length 6m/12m; fabrication grade,MT
FLT-009,Flat Bar Model 009,Flat Bar,IS2062 E250,Industrial grade product; size 55mm; standard commercial tolerance,MT
RND-010,Round Bar Model 010,Round Bar,EN8,Industrial grade product; size 60mm; standard commercial tolerance,MT
PIP-011,Steel Pipe Model 011,Steel Pipe,IS1239,65NB nominal bore; medium/heavy class; standard length 6m,MT
HSS-012,Hollow Section Model 012,Hollow Section,IS4923,70mm nominal section; standard length 6m/12m; fabrication grade,MT
SSP-013,Stainless Steel Model 013,Stainless Steel,AISI 304,Industrial grade product; size 75mm; standard commercial tolerance,MT
FIT-014,Pipe Fitting Model 014,Pipe Fitting,ASTM A234 WPB,55NB fitting; pressure class 150; threaded or butt-weld,Nos
GRT-015,Industrial Grating Model 015,Industrial Grating,IS2062 E250,Industrial grade product; size 85mm; standard commercial tolerance,SQM
MSB-016,Steel Billet Model 016,Steel Billet,IS2062 E250,Industrial grade product; size 90mm; standard commercial tolerance,MT
MSP-017,Steel Plate Model 017,Steel Plate,IS2062 E350,26.0mm thickness; width up to 2000mm; cut length available,MT
SHT-018,Steel Sheet Model 018,Steel Sheet,IS513 CR1,27.5mm thickness; width up to 2500mm; cut length available,MT
