term_id,customer_type,minimum_order_value_inr,maximum_order_value_inr,advance_percentage,credit_days,balance_payment_condition,late_payment_interest_pct_pa,exception_approver,status
PAY-001,Dealer,0,14000000,50,7,Within Credit Period,18.74,Finance Manager,Active
PAY-002,Distributor,450000,8600000,50,60,Before Dispatch,17.78,Finance Head,Active
PAY-003,Corporate,500000,23000000,20,30,Within Credit Period,15.13,Finance Manager,Active
PAY-004,EPC Contractor,450000,5800000,100,0,Against Proforma Invoice,18.21,Finance Manager,Active
PAY-005,OEM,950000,11300000,10,7,Within Credit Period,20.17,Finance Manager,Active
PAY-006,Government,0,17700000,100,0,Milestone Based,23.97,Finance Manager,Active
PAY-007,Dealer,600000,10900000,20,45,Before Dispatch,19.0,Finance Head,Active
PAY-008,Distributor,500000,19500000,50,15,Against Proforma Invoice,20.24,Finance Manager,Active
PAY-009,Corporate,750000,24200000,100,0,Within Credit Period,18.09,Finance Manager,Active
PAY-010,EPC Contractor,250000,8500000,10,60,Before Dispatch,17.65,Finance Head,Active
PAY-011,OEM,400000,19500000,100,0,Against Proforma Invoice,23.36,Finance Manager,Active
PAY-012,Government,350000,10000000,20,7,Against Proforma Invoice,20.93,Finance Manager,Active
PAY-013,Dealer,500000,10500000,20,45,Within Credit Period,19.03,Finance Head,Active
PAY-014,Distributor,750000,2300000,30,7,Before Dispatch,17.67,Finance Manager,Active
PAY-015,Corporate,150000,23200000,10,60,Milestone Based,18.36,Finance Head,Active
PAY-016,EPC Contractor,200000,4500000,30,7,Against Proforma Invoice,16.11,Finance Manager,Active
PAY-017,OEM,200000,9000000,50,45,Against Proforma Invoice,21.35,Finance Head,Active
PAY-018,Government,250000,9000000,30,30,Before Dispatch,12.06,Finance Manager,Active
PAY-019,Dealer,250000,15700000,20,15,Against Proforma Invoice,17.87,Finance Manager,Active
PAY-020,Distributor,950000,12100000,0,15,Milestone Based,16.84,Finance Manager,Active
PAY-021,Corporate,0,1900000,30,45,Against Proforma Invoice,20.77,Finance Head,Active
