policy_id,customer_type,product_category,minimum_order_value_inr,maximum_order_value_inr,standard_discount_pct,maximum_discount_pct,auto_approval_limit_pct,approver_role,effective_from,status
DISC-001,Dealer,Steel Billet,2800000,6100000,1.51,2.48,1.09,Sales Manager,2026-01-01,Active
DISC-002,Distributor,Steel Plate,3350000,6650000,4.2,8.81,5.95,Sales Head,2026-01-01,Active
DISC-003,Corporate,Steel Sheet,2550000,11850000,3.99,7.48,5.03,Sales Manager,2026-01-01,Active
DISC-004,EPC Contractor,Steel Coil,2250000,6450000,6.52,14.97,8.88,Sales Head,2026-01-01,Active
DISC-005,OEM,Reinforcement Bar,550000,2850000,1.24,2.62,2.03,Sales Manager,2026-01-01,Active
DISC-006,Government,I Beam,2200000,8800000,2.89,7.37,3.56,Sales Manager,2026-01-01,Active
DISC-007,Dealer,Channel Section,650000,5150000,0.95,7.13,4.84,Sales Manager,2026-01-01,Active
DISC-008,Distributor,Structural Angle,300000,5100000,8.17,12.34,5.5,Sales Head,2026-01-01,Active
DISC-009,Corporate,Flat Bar,4350000,14250000,3.35,12.2,9.42,Sales Head,2026-01-01,Active
DISC-010,EPC Contractor,Round Bar,1150000,7050000,8.39,8.73,4.65,Sales Head,2026-01-01,Active
DISC-011,OEM,Steel Pipe,1500000,4300000,7.97,12.17,7.93,Sales Head,2026-01-01,Active
DISC-012,Government,Hollow Section,2800000,5800000,3.22,6.54,4.55,Sales Manager,2026-01-01,Active
DISC-013,Dealer,Stainless Steel,2750000,5850000,2.15,6.44,4.39,Sales Manager,2026-01-01,Active
DISC-014,Distributor,Pipe Fitting,4550000,6350000,9.95,12.32,5.24,Sales Head,2026-01-01,Active
DISC-015,Corporate,Industrial Grating,3450000,9750000,0.86,3.62,1.92,Sales Manager,2026-01-01,Active
DISC-016,EPC Contractor,Steel Billet,4300000,12900000,4.44,13.08,7.99,Sales Head,2026-01-01,Active
DISC-017,OEM,Steel Plate,2500000,7400000,3.69,9.56,6.07,Sales Head,2026-01-01,Active
DISC-018,Government,Steel Sheet,2950000,12450000,7.82,9.64,6.99,Sales Head,2026-01-01,Active
DISC-019,Dealer,Steel Coil,3950000,8450000,1.53,9.26,6.19,Sales Head,2026-01-01,Active
DISC-020,Distributor,Reinforcement Bar,2000000,4300000,1.59,2.64,1.45,Sales Manager,2026-01-01,Active
DISC-021,Corporate,I Beam,2700000,8600000,2.14,9.35,5.89,Sales Head,2026-01-01,Active
DISC-022,EPC Contractor,Channel Section,4100000,6800000,4.95,8.52,6.54,Sales Head,2026-01-01,Active
DISC-023,OEM,Structural Angle,3150000,9350000,3.31,5.04,2.39,Sales Manager,2026-01-01,Active
DISC-024,Government,Flat Bar,2300000,5200000,11.77,14.33,8.51,Sales Head,2026-01-01,Active
DISC-025,Dealer,Round Bar,3600000,12800000,4.23,8.08,4.83,Sales Head,2026-01-01,Active
DISC-026,Distributor,Steel Pipe,4550000,6050000,7.43,12.76,7.6,Sales Head,2026-01-01,Active
DISC-027,Corporate,Hollow Section,4900000,8200000,2.43,4.09,1.69,Sales Manager,2026-01-01,Active
DISC-028,EPC Contractor,Stainless Steel,1100000,7900000,6.78,11.93,7.47,Sales Head,2026-01-01,Active
DISC-029,OEM,Pipe Fitting,750000,8150000,7.51,9.02,4.57,Sales Head,2026-01-01,Active
DISC-030,Government,Industrial Grating,2350000,12050000,4.07,8.59,6.04,Sales Head,2026-01-01,Active
