product_code,product_name,unit,base_price_inr,currency,effective_from,effective_to,minimum_order_qty,freight_basis,status
MSB-001,Steel Billet Model 001,MT,91446,INR,2026-01-01,2026-12-31,6,Ex-Works,Active
MSP-002,Steel Plate Model 002,MT,84834,INR,2026-01-01,2026-12-31,18,Freight Extra,Active
SHT-003,Steel Sheet Model 003,MT,65161,INR,2026-01-01,2026-12-31,17,Freight Extra,Active
COI-004,Steel Coil Model 004,MT,81421,INR,2026-01-01,2026-12-31,3,FOR Destination,Active
TMT-005,Reinforcement Bar Model 005,MT,40544,INR,2026-01-01,2026-12-31,14,Ex-Works,Active
IBE-006,I Beam Model 006,MT,95260,INR,2026-01-01,2026-12-31,3,FOR Destination,Active
CHN-007,Channel Section Model 007,MT,91267,INR,2026-01-01,2026-12-31,19,FOR Destination,Active
ANG-008,Structural Angle Model 008,MT,89747,INR,2026-01-01,2026-12-31,10,Ex-Works,Active
FLT-009,Flat Bar Model 009,MT,88088,INR,2026-01-01,2026-12-31,1,FOR Destination,Active
RND-010,Round Bar Model 010,MT,57527,INR,2026-01-01,2026-12-31,20,FOR Destination,Active
PIP-011,Steel Pipe Model 011,MT,82428,INR,2026-01-01,2026-12-31,3,FOR Destination,Active
HSS-012,Hollow Section Model 012,MT,48875,INR,2026-01-01,2026-12-31,8,FOR Destination,Active
SSP-013,Stainless Steel Model 013,MT,87487,INR,2026-01-01,2026-12-31,17,Ex-Works,Active
FIT-014,Pipe Fitting Model 014,Nos,6634,INR,2026-01-01,2026-12-31,10,Freight Extra,Active
GRT-015,Industrial Grating Model 015,SQM,5712,INR,2026-01-01,2026-12-31,8,FOR Destination,Active
MSB-016,Steel Billet Model 016,MT,57037,INR,2026-01-01,2026-12-31,3,Freight Extra,Active
MSP-017,Steel Plate Model 017,MT,49945,INR,2026-01-01,2026-12-31,17,Freight Extra,Active
SHT-018,Steel Sheet Model 018,MT,60415,INR,2026-01-01,2026-12-31,25,FOR Destination,Active
COI-019,Steel Coil Model 019,MT,81019,INR,2026-01-01,2026-12-31,24,Freight Extra,Active
TMT-020,Reinforcement Bar Model 020,MT,54358,INR,2026-01-01,2026-12-31,8,Ex-Works,Active
IBE-021,I Beam Model 021,MT,54194,INR,2026-01-01,2026-12-31,9,Ex-Works,Active
CHN-022,Channel Section Model 022,MT,57740,INR,2026-01-01,2026-12-31,20,Ex-Works,Active
ANG-023,Structural Angle Model 023,MT,44876,INR,2026-01-01,2026-12-31,6,Freight Extra,Active
FLT-024,Flat Bar Model 024,MT,99764,INR,2026-01-01,2026-12-31,15,Freight Extra,Active
RND-025,Round Bar Model 025,MT,93838,INR,2026-01-01,2026-12-31,22,Freight Extra,Active
PIP-026,Steel Pipe Model 026,MT,77363,INR,2026-01-01,2026-12-31,21,FOR Destination,Active
HSS-027,Hollow Section Model 027,MT,54786,INR,2026-01-01,2026-12-31,15,Ex-Works,Active
SSP-028,Stainless Steel Model 028,MT,96462,INR,2026-01-01,2026-12-31,15,Freight Extra,Active
FIT-029,Pipe Fitting Model 029,Nos,5111,INR,2026-01-01,2026-12-31,9,Freight Extra,Active
GRT-030,Industrial Grating Model 030,SQM,1070,INR,2026-01-01,2026-12-31,12,Freight Extra,Active
MSB-031,Steel Billet Model 031,MT,44724,INR,2026-01-01,2026-12-31,10,FOR Destination,Active
MSP-032,Steel Plate Model 032,MT,94233,INR,2026-01-01,2026-12-31,2,Ex-Works,Active
SHT-033,Steel Sheet Model 033,MT,83331,INR,2026-01-01,2026-12-31,10,Ex-Works,Active
COI-034,Steel Coil Model 034,MT,46835,INR,2026-01-01,2026-12-31,20,Freight Extra,Active
TMT-035,Reinforcement Bar Model 035,MT,101462,INR,2026-01-01,2026-12-31,13,FOR Destination,Active
IBE-036,I Beam Model 036,MT,107655,INR,2026-01-01,2026-12-31,24,Ex-Works,Active
CHN-037,Channel Section Model 037,MT,93947,INR,2026-01-01,2026-12-31,19,Freight Extra,Active
ANG-038,Structural Angle Model 038,MT,59672,INR,2026-01-01,2026-12-31,11,Freight Extra,Active
FLT-039,Flat Bar Model 039,MT,97341,INR,2026-01-01,2026-12-31,17,Ex-Works,Active
RND-040,Round Bar Model 040,MT,43109,INR,2026-01-01,2026-12-31,15,Ex-Works,Active
PIP-041,Steel Pipe Model 041,MT,80015,INR,2026-01-01,2026-12-31,23,Ex-Works,Active
