product_code,product_name,warehouse,physical_qty,reserved_qty,available_qty,damaged_qty,reorder_level,stock_status,last_updated
MSB-001,Steel Billet Model 001,Mumbai WH,574,1,572,1,49,OK,2026-06-22
MSP-002,Steel Plate Model 002,Delhi WH,152,69,83,0,124,REORDER,2026-06-26
SHT-003,Steel Sheet Model 003,Chennai WH,565,18,541,6,62,OK,2026-07-13
COI-004,Steel Coil Model 004,Ahmedabad WH,315,46,257,12,40,OK,2026-07-03
TMT-005,Reinforcement Bar Model 005,Bengaluru WH,215,87,125,3,56,OK,2026-07-03
IBE-006,I Beam Model 006,Mumbai WH,573,113,454,6,69,OK,2026-07-07
CHN-007,Channel Section Model 007,Delhi WH,166,102,52,12,75,REORDER,2026-07-01
ANG-008,Structural Angle Model 008,Chennai WH,25,5,9,11,115,REORDER,2026-06-19
FLT-009,Flat Bar Model 009,Ahmedabad WH,421,102,309,10,93,OK,2026-07-06
RND-010,Round Bar Model 010,Bengaluru WH,163,100,52,11,57,REORDER,2026-07-02
PIP-011,Steel Pipe Model 011,Mumbai WH,39,30,6,3,81,REORDER,2026-06-30
HSS-012,Hollow Section Model 012,Delhi WH,358,39,307,12,88,OK,2026-07-07
SSP-013,Stainless Steel Model 013,Chennai WH,24,21,0,3,132,REORDER,2026-07-04
FIT-014,Pipe Fitting Model 014,Ahmedabad WH,285,110,174,1,101,OK,2026-07-03
GRT-015,Industrial Grating Model 015,Bengaluru WH,521,51,460,10,167,OK,2026-07-04
MSB-016,Steel Billet Model 016,Mumbai WH,28,3,21,4,75,REORDER,2026-06-26
MSP-017,Steel Plate Model 017,Delhi WH,271,4,266,1,141,OK,2026-07-03
SHT-018,Steel Sheet Model 018,Chennai WH,321,55,257,9,160,OK,2026-07-11
COI-019,Steel Coil Model 019,Ahmedabad WH,394,115,270,9,78,OK,2026-07-06
TMT-020,Reinforcement Bar Model 020,Bengaluru WH,45,45,0,6,30,REORDER,2026-06-28
