material_code,material_name,unit,cost_per_unit_inr,supplier_lead_time_days,preferred_supplier,effective_date,overhead_percentage,status
RM-001,Iron Ore Grade 001,KG,137.71,17,Spot Market,2026-06-26,10.1,Active
RM-002,Scrap Steel Grade 002,KG,83.1,33,Approved Vendor A,2026-06-17,9.48,Active
RM-003,Coking Coal Grade 003,KG,689.65,20,Spot Market,2026-01-20,6.59,Active
RM-004,Ferro Manganese Grade 004,KG,552.86,13,Approved Vendor A,2026-05-12,2.88,Active
RM-005,Zinc Grade 005,KG,511.6,34,Approved Vendor A,2026-04-28,8.11,Active
RM-006,Nickel Grade 006,KG,613.0,25,Approved Vendor C,2026-06-01,6.64,Active
RM-007,Chromium Grade 007,KG,87.49,17,Approved Vendor A,2026-07-19,11.56,Active
RM-008,Paint Grade 008,KG,332.58,4,Approved Vendor C,2026-05-11,12.58,Active
RM-009,Packaging Grade 009,Nos,186.96,45,Spot Market,2026-06-16,10.21,Active
RM-010,Welding Consumables Grade 010,KG,775.64,6,Spot Market,2026-01-10,4.62,Active
RM-011,Iron Ore Grade 011,KG,756.78,4,Approved Vendor C,2026-03-17,7.18,Active
RM-012,Scrap Steel Grade 012,KG,779.25,32,Approved Vendor C,2026-01-25,10.41,Active
RM-013,Coking Coal Grade 013,KG,289.65,5,Approved Vendor C,2026-03-04,12.39,Active
RM-014,Ferro Manganese Grade 014,KG,429.18,27,Spot Market,2026-04-11,14.66,Active
RM-015,Zinc Grade 015,KG,483.99,33,Approved Vendor C,2026-07-17,5.47,Active
RM-016,Nickel Grade 016,KG,101.42,29,Approved Vendor A,2026-04-20,14.94,Active
RM-017,Chromium Grade 017,KG,191.92,20,Approved Vendor C,2026-01-03,6.26,Active
RM-018,Paint Grade 018,KG,298.47,30,Spot Market,2026-02-23,7.77,Active
RM-019,Packaging Grade 019,Nos,438.59,24,Spot Market,2026-03-21,14.74,Active
RM-020,Welding Consumables Grade 020,KG,901.81,6,Spot Market,2026-03-17,12.41,Active
RM-021,Iron Ore Grade 021,KG,653.45,3,Approved Vendor B,2026-07-20,10.82,Active
RM-022,Scrap Steel Grade 022,KG,430.31,10,Approved Vendor A,2026-02-25,10.39,Active
RM-023,Coking Coal Grade 023,KG,359.99,38,Approved Vendor A,2026-05-05,10.83,Active
RM-024,Ferro Manganese Grade 024,KG,902.66,25,Spot Market,2026-07-03,9.46,Active
RM-025,Zinc Grade 025,KG,514.75,27,Approved Vendor C,2026-06-09,5.24,Active
RM-026,Nickel Grade 026,KG,129.94,13,Spot Market,2026-05-13,13.88,Active
RM-027,Chromium Grade 027,KG,133.93,18,Spot Market,2026-02-20,5.71,Active
RM-028,Paint Grade 028,KG,872.74,33,Approved Vendor B,2026-01-05,13.09,Active
RM-029,Packaging Grade 029,Nos,443.14,30,Approved Vendor A,2026-07-22,14.58,Active
