customer_id,company_name,contact_person,phone,email,city,state,customer_type,gstin,credit_limit_inr,outstanding_amount_inr,payment_behavior,previous_orders_count,lifetime_sales_inr,lead_source,status
CUST-0001,Bharat Industrial 001 Pvt Ltd,Contact Person 001,+91-9896233790,buyer001@examplebusiness.in,Bengaluru,Karnataka,Dealer,GSTIN0000000001,800000,310000,Delayed,8,12500000,WhatsApp,Active
CUST-0002,Crest Industrial 002 Pvt Ltd,Contact Person 002,+91-9249827706,buyer002@examplebusiness.in,Chennai,Tamil Nadu,Distributor,GSTIN0000000002,3300000,0,Good,23,5200000,Website,Active
CUST-0003,Delta Industrial 003 Pvt Ltd,Contact Person 003,+91-9734036506,buyer003@examplebusiness.in,Hyderabad,Telangana,Corporate,GSTIN0000000003,1600000,1420000,High Risk,13,1600000,IndiaMART,Active
CUST-0004,Everest Industrial 004 Pvt Ltd,Contact Person 004,+91-9334760738,buyer004@examplebusiness.in,Mumbai,Maharashtra,EPC Contractor,GSTIN0000000004,1600000,100000,Average,7,25800000,Referral,Active
CUST-0005,Falcon Industrial 005 Pvt Ltd,Contact Person 005,+91-9128492780,buyer005@examplebusiness.in,Pune,Maharashtra,OEM,GSTIN0000000005,8200000,0,Excellent,17,10100000,Trade Fair,Active
CUST-0006,Galaxy Industrial 006 Pvt Ltd,Contact Person 006,+91-9336696312,buyer006@examplebusiness.in,Ahmedabad,Gujarat,Government,GSTIN0000000006,5800000,1420000,Delayed,14,30100000,Email,Active
CUST-0007,Horizon Industrial 007 Pvt Ltd,Contact Person 007,+91-9969119330,buyer007@examplebusiness.in,Delhi,Delhi,Dealer,GSTIN0000000007,4000000,0,Good,0,38800000,WhatsApp,Active
CUST-0008,Indus Industrial 008 Pvt Ltd,Contact Person 008,+91-9553778756,buyer008@examplebusiness.in,Noida,Uttar Pradesh,Distributor,GSTIN0000000008,9400000,430000,High Risk,10,14200000,Website,Active
CUST-0009,Jupiter Industrial 009 Pvt Ltd,Contact Person 009,+91-9919795579,buyer009@examplebusiness.in,Gurugram,Haryana,Corporate,GSTIN0000000009,3200000,420000,Average,10,5200000,IndiaMART,Active
CUST-0010,Apex Industrial 010 Pvt Ltd,Contact Person 010,+91-9507943839,buyer010@examplebusiness.in,Jaipur,Rajasthan,EPC Contractor,GSTIN0000000010,1600000,0,Excellent,3,18300000,Referral,Active
CUST-0011,Bharat Industrial 011 Pvt Ltd,Contact Person 011,+91-9384027113,buyer011@examplebusiness.in,Kolkata,West Bengal,OEM,GSTIN0000000011,8200000,905000,Delayed,25,2200000,Trade Fair,Inactive
CUST-0012,Crest Industrial 012 Pvt Ltd,Contact Person 012,+91-9593303705,buyer012@examplebusiness.in,Bhubaneswar,Odisha,Government,GSTIN0000000012,9800000,0,Good,17,6300000,Email,Active
CUST-0013,Delta Industrial 013 Pvt Ltd,Contact Person 013,+91-9692749116,buyer013@examplebusiness.in,Raipur,Chhattisgarh,Dealer,GSTIN0000000013,1500000,990000,High Risk,9,42400000,WhatsApp,Active
CUST-0014,Everest Industrial 014 Pvt Ltd,Contact Person 014,+91-9306468299,buyer014@examplebusiness.in,Indore,Madhya Pradesh,Distributor,GSTIN0000000014,7800000,950000,Average,22,3500000,Website,Active
CUST-0015,Falcon Industrial 015 Pvt Ltd,Contact Person 015,+91-9810026086,buyer015@examplebusiness.in,Nagpur,Maharashtra,Corporate,GSTIN0000000015,1000000,0,Excellent,7,39500000,IndiaMART,Active
CUST-0016,Galaxy Industrial 016 Pvt Ltd,Contact Person 016,+91-9349957310,buyer016@examplebusiness.in,Bengaluru,Karnataka,EPC Contractor,GSTIN0000000016,1500000,765000,Delayed,3,19400000,Referral,Active
CUST-0017,Horizon Industrial 017 Pvt Ltd,Contact Person 017,+91-9586845604,buyer017@examplebusiness.in,Chennai,Tamil Nadu,OEM,GSTIN0000000017,4000000,0,Good,20,42700000,Trade Fair,Active
CUST-0018,Indus Industrial 018 Pvt Ltd,Contact Person 018,+91-9497478786,buyer018@examplebusiness.in,Hyderabad,Telangana,Government,GSTIN0000000018,2500000,955000,High Risk,11,10700000,Email,Active
CUST-0019,Jupiter Industrial 019 Pvt Ltd,Contact Person 019,+91-9833953718,buyer019@examplebusiness.in,Mumbai,Maharashtra,Dealer,GSTIN0000000019,9400000,705000,Average,20,3600000,WhatsApp,Active
CUST-0020,Apex Industrial 020 Pvt Ltd,Contact Person 020,+91-9781802744,buyer020@examplebusiness.in,Pune,Maharashtra,Distributor,GSTIN0000000020,8200000,0,Excellent,5,27300000,Website,Active
CUST-0021,Bharat Industrial 021 Pvt Ltd,Contact Person 021,+91-9596348124,buyer021@examplebusiness.in,Ahmedabad,Gujarat,Corporate,GSTIN0000000021,2500000,650000,Delayed,12,13800000,IndiaMART,Active
CUST-0022,Crest Industrial 022 Pvt Ltd,Contact Person 022,+91-9838908273,buyer022@examplebusiness.in,Delhi,Delhi,EPC Contractor,GSTIN0000000022,8600000,0,Good,17,11200000,Referral,Inactive
CUST-0023,Delta Industrial 023 Pvt Ltd,Contact Person 023,+91-9345938494,buyer023@examplebusiness.in,Noida,Uttar Pradesh,OEM,GSTIN0000000023,1200000,855000,High Risk,1,41200000,Trade Fair,Active
CUST-0024,Everest Industrial 024 Pvt Ltd,Contact Person 024,+91-9387484583,buyer024@examplebusiness.in,Gurugram,Haryana,Government,GSTIN0000000024,5600000,830000,Average,2,10800000,Email,Active
CUST-0025,Falcon Industrial 025 Pvt Ltd,Contact Person 025,+91-9870854579,buyer025@examplebusiness.in,Jaipur,Rajasthan,Dealer,GSTIN0000000025,7700000,0,Excellent,10,10800000,WhatsApp,Active
CUST-0026,Galaxy Industrial 026 Pvt Ltd,Contact Person 026,+91-9790256940,buyer026@examplebusiness.in,Kolkata,West Bengal,Distributor,GSTIN0000000026,5500000,1300000,Delayed,14,7300000,Website,Active
CUST-0027,Horizon Industrial 027 Pvt Ltd,Contact Person 027,+91-9249926919,buyer027@examplebusiness.in,Bhubaneswar,Odisha,Corporate,GSTIN0000000027,3800000,0,Good,7,38100000,IndiaMART,Active
