rule_id,product_code,product_category,minimum_margin_pct,target_margin_pct,stretch_margin_pct,exception_approver,exception_rule,effective_from,status
MARG-001,MSB-001,Steel Billet,5.73,13.5,16.93,Sales Head,Human approval required below minimum margin,2026-01-01,Active
MARG-002,MSP-002,Steel Plate,11.73,23.48,26.33,Sales Head,Human approval required below minimum margin,2026-01-01,Active
MARG-003,SHT-003,Steel Sheet,5.65,16.94,24.32,Finance Head,Human approval required below minimum margin,2026-01-01,Active
MARG-004,COI-004,Steel Coil,7.89,18.95,23.7,Finance Head,Human approval required below minimum margin,2026-01-01,Active
MARG-005,TMT-005,Reinforcement Bar,5.59,9.45,12.25,Sales Head,Human approval required below minimum margin,2026-01-01,Active
MARG-006,IBE-006,I Beam,5.52,13.63,18.24,Pricing Manager,Human approval required below minimum margin,2026-01-01,Active
MARG-007,CHN-007,Channel Section,6.66,12.01,15.9,Sales Head,Human approval required below minimum margin,2026-01-01,Active
MARG-008,ANG-008,Structural Angle,9.91,19.53,23.44,Sales Head,Human approval required below minimum margin,2026-01-01,Active
MARG-009,FLT-009,Flat Bar,6.64,18.13,20.95,Finance Head,Human approval required below minimum margin,2026-01-01,Active
MARG-010,RND-010,Round Bar,5.76,9.71,14.41,Sales Head,Human approval required below minimum margin,2026-01-01,Active
MARG-011,PIP-011,Steel Pipe,7.85,15.67,23.46,Pricing Manager,Human approval required below minimum margin,2026-01-01,Active
MARG-012,HSS-012,Hollow Section,8.16,15.33,22.44,Pricing Manager,Human approval required below minimum margin,2026-01-01,Active
MARG-013,SSP-013,Stainless Steel,6.1,15.27,22.23,Finance Head,Human approval required below minimum margin,2026-01-01,Active
MARG-014,FIT-014,Pipe Fitting,9.22,14.16,21.3,Pricing Manager,Human approval required below minimum margin,2026-01-01,Active
MARG-015,GRT-015,Industrial Grating,5.64,10.87,15.0,Finance Head,Human approval required below minimum margin,2026-01-01,Active
MARG-016,MSB-016,Steel Billet,5.34,11.03,17.95,Pricing Manager,Human approval required below minimum margin,2026-01-01,Active
MARG-017,MSP-017,Steel Plate,5.22,11.86,16.57,Finance Head,Human approval required below minimum margin,2026-01-01,Active
MARG-018,SHT-018,Steel Sheet,8.85,12.7,15.31,Pricing Manager,Human approval required below minimum margin,2026-01-01,Active
MARG-019,COI-019,Steel Coil,5.85,9.41,16.1,Pricing Manager,Human approval required below minimum margin,2026-01-01,Active
MARG-020,TMT-020,Reinforcement Bar,5.92,16.33,20.56,Finance Head,Human approval required below minimum margin,2026-01-01,Active
MARG-021,IBE-021,I Beam,11.56,15.32,20.84,Pricing Manager,Human approval required below minimum margin,2026-01-01,Active
MARG-022,CHN-022,Channel Section,5.15,8.73,16.14,Sales Head,Human approval required below minimum margin,2026-01-01,Active
MARG-023,ANG-023,Structural Angle,10.67,14.5,21.58,Sales Head,Human approval required below minimum margin,2026-01-01,Active
MARG-024,FLT-024,Flat Bar,5.86,17.34,19.64,Finance Head,Human approval required below minimum margin,2026-01-01,Active
MARG-025,RND-025,Round Bar,8.03,17.55,22.53,Sales Head,Human approval required below minimum margin,2026-01-01,Active
MARG-026,PIP-026,Steel Pipe,9.78,14.34,17.63,Pricing Manager,Human approval required below minimum margin,2026-01-01,Active
MARG-027,HSS-027,Hollow Section,6.92,13.93,16.82,Finance Head,Human approval required below minimum margin,2026-01-01,Active
MARG-028,SSP-028,Stainless Steel,9.33,14.54,18.31,Sales Head,Human approval required below minimum margin,2026-01-01,Active
MARG-029,FIT-029,Pipe Fitting,11.18,18.49,21.02,Sales Head,Human approval required below minimum margin,2026-01-01,Active
MARG-030,GRT-030,Industrial Grating,5.96,10.76,18.07,Finance Head,Human approval required below minimum margin,2026-01-01,Active
MARG-031,MSB-031,Steel Billet,6.74,18.69,23.95,Pricing Manager,Human approval required below minimum margin,2026-01-01,Active
MARG-032,MSP-032,Steel Plate,11.93,21.97,26.12,Finance Head,Human approval required below minimum margin,2026-01-01,Active
MARG-033,SHT-033,Steel Sheet,10.47,16.57,21.96,Sales Head,Human approval required below minimum margin,2026-01-01,Active
MARG-034,COI-034,Steel Coil,7.72,12.34,16.25,Pricing Manager,Human approval required below minimum margin,2026-01-01,Active
MARG-035,TMT-035,Reinforcement Bar,5.21,15.51,19.2,Sales Head,Human approval required below minimum margin,2026-01-01,Active
MARG-036,IBE-036,I Beam,8.71,18.61,26.61,Pricing Manager,Human approval required below minimum margin,2026-01-01,Active
MARG-037,CHN-037,Channel Section,5.7,14.61,18.21,Finance Head,Human approval required below minimum margin,2026-01-01,Active
MARG-038,ANG-038,Structural Angle,5.39,17.36,20.68,Sales Head,Human approval required below minimum margin,2026-01-01,Active
MARG-039,FLT-039,Flat Bar,7.48,18.03,25.1,Pricing Manager,Human approval required below minimum margin,2026-01-01,Active
MARG-040,RND-040,Round Bar,6.66,12.52,18.95,Sales Head,Human approval required below minimum margin,2026-01-01,Active
MARG-041,PIP-041,Steel Pipe,11.4,14.65,20.85,Finance Head,Human approval required below minimum margin,2026-01-01,Active
MARG-042,HSS-042,Hollow Section,8.95,17.02,20.15,Sales Head,Human approval required below minimum margin,2026-01-01,Active
MARG-043,SSP-043,Stainless Steel,8.79,13.37,15.6,Pricing Manager,Human approval required below minimum margin,2026-01-01,Active
MARG-044,FIT-044,Pipe Fitting,6.63,11.6,16.76,Pricing Manager,Human approval required below minimum margin,2026-01-01,Active
MARG-045,GRT-045,Industrial Grating,7.32,15.85,22.69,Sales Head,Human approval required below minimum margin,2026-01-01,Active
MARG-046,MSB-046,Steel Billet,10.02,21.29,28.36,Sales Head,Human approval required below minimum margin,2026-01-01,Active
MARG-047,MSP-047,Steel Plate,5.42,9.75,15.98,Pricing Manager,Human approval required below minimum margin,2026-01-01,Active
MARG-048,SHT-048,Steel Sheet,10.42,21.04,28.2,Pricing Manager,Human approval required below minimum margin,2026-01-01,Active
MARG-049,COI-049,Steel Coil,7.62,19.1,23.47,Pricing Manager,Human approval required below minimum margin,2026-01-01,Active
MARG-050,TMT-050,Reinforcement Bar,7.36,13.26,21.12,Finance Head,Human approval required below minimum margin,2026-01-01,Active
MARG-051,IBE-051,I Beam,11.64,21.77,29.53,Finance Head,Human approval required below minimum margin,2026-01-01,Active
MARG-052,CHN-052,Channel Section,7.22,16.58,21.95,Finance Head,Human approval required below minimum margin,2026-01-01,Active
MARG-053,ANG-053,Structural Angle,10.51,15.52,21.05,Pricing Manager,Human approval required below minimum margin,2026-01-01,Active
MARG-054,FLT-054,Flat Bar,7.65,17.26,21.03,Pricing Manager,Human approval required below minimum margin,2026-01-01,Active
MARG-055,RND-055,Round Bar,10.1,21.64,29.33,Sales Head,Human approval required below minimum margin,2026-01-01,Active
MARG-056,PIP-056,Steel Pipe,10.96,20.9,26.3,Pricing Manager,Human approval required below minimum margin,2026-01-01,Active
MARG-057,HSS-057,Hollow Section,9.22,20.51,28.32,Pricing Manager,Human approval required below minimum margin,2026-01-01,Active
MARG-058,SSP-058,Stainless Steel,9.48,13.42,18.4,Sales Head,Human approval required below minimum margin,2026-01-01,Active
MARG-059,FIT-059,Pipe Fitting,10.22,15.36,23.25,Pricing Manager,Human approval required below minimum margin,2026-01-01,Active
MARG-060,GRT-060,Industrial Grating,9.45,21.12,28.05,Finance Head,Human approval required below minimum margin,2026-01-01,Active
