product_code,product_name,rm_cost_per_mt,manufacturing_overhead_pct
MSB-001,Steel Billet Model 001,56696.52,10.1
MSP-002,Steel Plate Model 002,53445.42,9.48
SHT-003,Steel Sheet Model 003,41703.04,6.59
COI-004,Steel Coil Model 004,52923.65,2.88
TMT-005,Reinforcement Bar Model 005,26759.04,8.11
IBE-006,I Beam Model 006,63824.2,6.64
CHN-007,Channel Section Model 007,62061.56,11.56
ANG-008,Structural Angle Model 008,61925.43,12.58
FLT-009,Flat Bar Model 009,54614.56,10.21
RND-010,Round Bar Model 010,36242.01,4.62
PIP-011,Steel Pipe Model 011,52753.92,7.18
HSS-012,Hollow Section Model 012,31768.75,10.41
SSP-013,Stainless Steel Model 013,57741.42,12.39
FIT-014,Pipe Fitting Model 014,4444.78,14.66
GRT-015,Industrial Grating Model 015,3884.16,5.47
MSB-016,Steel Billet Model 016,39355.53,14.94
MSP-017,Steel Plate Model 017,30965.9,6.26
SHT-018,Steel Sheet Model 018,38061.45,7.77
COI-019,Steel Coil Model 019,51852.16,14.74
TMT-020,Reinforcement Bar Model 020,35332.7,12.41
IBE-021,I Beam Model 021,35768.04,10.82
CHN-022,Channel Section Model 022,38685.8,10.39
ANG-023,Structural Angle Model 023,30515.68,10.83
FLT-024,Flat Bar Model 024,68837.16,9.46
RND-025,Round Bar Model 025,58179.56,5.24
PIP-026,Steel Pipe Model 026,48738.69,13.88
HSS-027,Hollow Section Model 027,35063.04,5.71
SSP-028,Stainless Steel Model 028,62700.3,13.09
FIT-029,Pipe Fitting Model 029,3373.26,14.58
GRT-030,Industrial Grating Model 030,716.9,9.15
MSB-031,Steel Billet Model 031,30412.32,14.06
MSP-032,Steel Plate Model 032,65020.77,12.3
SHT-033,Steel Sheet Model 033,51665.22,9.44
COI-034,Steel Coil Model 034,29506.05,2.85
TMT-035,Reinforcement Bar Model 035,64935.68,12.7
IBE-036,I Beam Model 036,69975.75,10.84
CHN-037,Channel Section Model 037,62005.02,7.62
ANG-038,Structural Angle Model 038,39980.24,5.95
FLT-039,Flat Bar Model 039,66191.88,13
RND-040,Round Bar Model 040,29745.21,5.94
PIP-041,Steel Pipe Model 041,49609.3,4
HSS-042,Hollow Section Model 042,63713.16,2.54
SSP-043,Stainless Steel Model 043,25683.2,9.5
FIT-044,Pipe Fitting Model 044,4759.3,2.39
GRT-045,Industrial Grating Model 045,1815,8.28
MSB-046,Steel Billet Model 046,48292.93,2.95
MSP-047,Steel Plate Model 047,53958,4.65
SHT-048,Steel Sheet Model 048,28885.47,6.49
COI-049,Steel Coil Model 049,48895.06,8.06
TMT-050,Reinforcement Bar Model 050,29853.81,5.77
IBE-051,I Beam Model 051,54826.88,13.73
CHN-052,Channel Section Model 052,35560.85,4.07
ANG-053,Structural Angle Model 053,35334.42,2.3
FLT-054,Flat Bar Model 054,57870.58,9.58
RND-055,Round Bar Model 055,31350.72,10.51
PIP-056,Steel Pipe Model 056,58216.68,7.6
HSS-057,Hollow Section Model 057,32085,7.21
SSP-058,Stainless Steel Model 058,65516.85,2.96
FIT-059,Pipe Fitting Model 059,4535.68,10.85
GRT-060,Industrial Grating Model 060,291.2,14.83
MSB-061,Steel Billet Model 061,38693.82,8.62
MSP-062,Steel Plate Model 062,66153.12,6.33
SHT-063,Steel Sheet Model 063,36060.4,3.82
COI-064,Steel Coil Model 064,50901.3,11.61
TMT-065,Reinforcement Bar Model 065,65563.76,5.9
IBE-066,I Beam Model 066,25166.61,14.74
CHN-067,Channel Section Model 067,33392.64,5.45
ANG-068,Structural Angle Model 068,35891.7,9.59
FLT-069,Flat Bar Model 069,37420.02,10.85
RND-070,Round Bar Model 070,27286.42,6.08
PIP-071,Steel Pipe Model 071,44970.44,9.95
HSS-072,Hollow Section Model 072,49918.74,9.29
SSP-073,Stainless Steel Model 073,58181.42,7.98
FIT-074,Pipe Fitting Model 074,2562.84,13.28
GRT-075,Industrial Grating Model 075,2129.92,5.63
MSB-076,Steel Billet Model 076,71347.9,10.97
MSP-077,Steel Plate Model 077,47475.12,11.38
SHT-078,Steel Sheet Model 078,67613.72,6.49
COI-079,Steel Coil Model 079,38243.88,14.42
TMT-080,Reinforcement Bar Model 080,36666.6,4.78
IBE-081,I Beam Model 081,60754.42,10
CHN-082,Channel Section Model 082,30520.98,4.93
ANG-083,Structural Angle Model 083,32858.24,8.14
FLT-084,Flat Bar Model 084,36407.8,7.29
RND-085,Round Bar Model 085,67508.76,11.83
PIP-086,Steel Pipe Model 086,31504.07,10.48
HSS-087,Hollow Section Model 087,54957.6,4.29
SSP-088,Stainless Steel Model 088,28966.2,14.51
FIT-089,Pipe Fitting Model 089,3891.12,9.84
GRT-090,Industrial Grating Model 090,936.81,9.06
MSB-091,Steel Billet Model 091,24764.16,12.51
MSP-092,Steel Plate Model 092,51315.55,2.18
SHT-093,Steel Sheet Model 093,26413.2,13.13
COI-094,Steel Coil Model 094,35637.97,10.7
TMT-095,Reinforcement Bar Model 095,65611.16,2.09
IBE-096,I Beam Model 096,24624.72,9.57
CHN-097,Channel Section Model 097,42497.28,2.81
ANG-098,Structural Angle Model 098,67367.16,8.53
FLT-099,Flat Bar Model 099,66672.64,6.78
RND-100,Round Bar Model 100,47295.3,11.72
