product_code,product_name,plant,daily_capacity,current_daily_load,available_daily_capacity,active_shifts,estimated_lead_time_days,capacity_status,earliest_completion_date
MSB-001,Steel Billet Model 001,Plant Hosur,233,3,230,3,20,Available,2026-08-03
MSP-002,Steel Plate Model 002,Plant Pune,130,122,8,3,16,Constrained,2026-07-30
SHT-003,Steel Sheet Model 003,Plant Faridabad,57,3,54,4,10,Available,2026-07-24
COI-004,Steel Coil Model 004,Plant Bengaluru,39,4,35,4,14,Available,2026-07-28
TMT-005,Reinforcement Bar Model 005,Plant Hosur,28,18,10,1,22,Available,2026-08-05
IBE-006,I Beam Model 006,Plant Pune,48,9,39,3,27,Available,2026-08-10
CHN-007,Channel Section Model 007,Plant Faridabad,31,15,16,4,5,Available,2026-07-19
ANG-008,Structural Angle Model 008,Plant Bengaluru,165,152,13,2,27,Constrained,2026-08-10
FLT-009,Flat Bar Model 009,Plant Hosur,208,133,75,4,14,Available,2026-07-28
RND-010,Round Bar Model 010,Plant Pune,242,113,129,4,11,Available,2026-07-25
PIP-011,Steel Pipe Model 011,Plant Faridabad,88,72,16,1,21,Constrained,2026-08-04
HSS-012,Hollow Section Model 012,Plant Bengaluru,166,25,141,2,26,Available,2026-08-09
SSP-013,Stainless Steel Model 013,Plant Hosur,170,54,116,1,10,Available,2026-07-24
FIT-014,Pipe Fitting Model 014,Plant Pune,50,15,35,1,7,Available,2026-07-21
GRT-015,Industrial Grating Model 015,Plant Faridabad,50,0,50,4,15,Available,2026-07-29
MSB-016,Steel Billet Model 016,Plant Bengaluru,186,152,34,3,17,Constrained,2026-07-31
MSP-017,Steel Plate Model 017,Plant Hosur,18,7,11,3,11,Available,2026-07-25
SHT-018,Steel Sheet Model 018,Plant Pune,189,116,73,2,4,Available,2026-07-18
COI-019,Steel Coil Model 019,Plant Faridabad,246,67,179,2,27,Available,2026-08-10
TMT-020,Reinforcement Bar Model 020,Plant Bengaluru,118,14,104,2,19,Available,2026-08-02
IBE-021,I Beam Model 021,Plant Hosur,175,38,137,2,10,Available,2026-07-24
CHN-022,Channel Section Model 022,Plant Pune,28,1,27,3,7,Available,2026-07-21
ANG-023,Structural Angle Model 023,Plant Faridabad,162,145,17,4,11,Constrained,2026-07-25
FLT-024,Flat Bar Model 024,Plant Bengaluru,41,29,12,3,24,Available,2026-08-07
RND-025,Round Bar Model 025,Plant Hosur,189,103,86,4,10,Available,2026-07-24
PIP-026,Steel Pipe Model 026,Plant Pune,122,10,112,1,21,Available,2026-08-04
HSS-027,Hollow Section Model 027,Plant Faridabad,237,110,127,3,25,Available,2026-08-08
SSP-028,Stainless Steel Model 028,Plant Bengaluru,164,64,100,1,2,Available,2026-07-16
FIT-029,Pipe Fitting Model 029,Plant Hosur,68,2,66,3,26,Available,2026-08-09
GRT-030,Industrial Grating Model 030,Plant Pune,157,10,147,2,26,Available,2026-08-09
MSB-031,Steel Billet Model 031,Plant Faridabad,130,113,17,2,10,Constrained,2026-07-24
MSP-032,Steel Plate Model 032,Plant Bengaluru,159,111,48,4,22,Available,2026-08-05
SHT-033,Steel Sheet Model 033,Plant Hosur,33,30,3,4,13,Constrained,2026-07-27
COI-034,Steel Coil Model 034,Plant Pune,95,41,54,1,23,Available,2026-08-06
TMT-035,Reinforcement Bar Model 035,Plant Faridabad,229,41,188,4,12,Available,2026-07-26
IBE-036,I Beam Model 036,Plant Bengaluru,187,126,61,4,11,Available,2026-07-25
CHN-037,Channel Section Model 037,Plant Hosur,218,194,24,1,19,Constrained,2026-08-02
ANG-038,Structural Angle Model 038,Plant Pune,126,11,115,3,12,Available,2026-07-26
FLT-039,Flat Bar Model 039,Plant Faridabad,92,14,78,4,26,Available,2026-08-09
RND-040,Round Bar Model 040,Plant Bengaluru,231,131,100,1,28,Available,2026-08-11
PIP-041,Steel Pipe Model 041,Plant Hosur,178,138,40,4,16,Available,2026-07-30
HSS-042,Hollow Section Model 042,Plant Pune,23,6,17,3,18,Available,2026-08-01
SSP-043,Stainless Steel Model 043,Plant Faridabad,169,127,42,4,22,Available,2026-08-05
FIT-044,Pipe Fitting Model 044,Plant Bengaluru,204,13,191,3,8,Available,2026-07-22
